Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Date,State,TotalSamples,Negative,Positive
1,30-01-2020,6:00 PM,Kerala,1,0,0,0,1,16-01-2021,India,48276,3455,2957,48276,0,,,,579,47697,,,,,,,,,23757,24517,2,17-04-2020,Andaman and Nicobar Islands,1403,1210,12
2,31-01-2020,6:00 PM,Kerala,1,0,0,0,1,17-01-2021,India,58604,8532,4954,58604,0,,,,635,57969,,,,,,,,,27348,31252,4,24-04-2020,Andaman and Nicobar Islands,2679,,27
3,01-02-2020,6:00 PM,Kerala,2,0,0,0,2,18-01-2021,India,99449,13611,6583,99449,0,,,,1299,98150,,,,,,,,,41361,58083,5,27-04-2020,Andaman and Nicobar Islands,2848,,33
4,02-02-2020,6:00 PM,Kerala,3,0,0,0,3,19-01-2021,India,195525,17855,7951,195525,0,,,,3017,192508,,,,,,,,,81901,113613,11,01-05-2020,Andaman and Nicobar Islands,3754,,33
5,03-02-2020,6:00 PM,Kerala,3,0,0,0,3,20-01-2021,India,251280,25472,10504,251280,0,,,,3946,247334,,,,,,,,,98111,153145,24,16-05-2020,Andaman and Nicobar Islands,6677,,33
6,04-02-2020,6:00 PM,Kerala,3,0,0,0,3,21-01-2021,India,365965,32226,12600,365965,0,,,,5367,360598,,,,,,,,,132784,233143,38,19-05-2020,Andaman and Nicobar Islands,6965,,33
7,05-02-2020,6:00 PM,Kerala,3,0,0,0,3,22-01-2021,India,549381,36988,14115,549381,0,,,,8128,541253,,,,,,,,,193899,355402,80,20-05-2020,Andaman and Nicobar Islands,7082,,33
8,06-02-2020,6:00 PM,Kerala,3,0,0,0,3,23-01-2021,India,759008,43076,15605,759008,0,,,,11192,747816,,,,,,,,,267856,491049,103,21-05-2020,Andaman and Nicobar Islands,7167,,33
9,07-02-2020,6:00 PM,Kerala,3,0,0,0,3,24-01-2021,India,835058,49851,18111,835058,0,,,,13156,821902,,,,,,,,,296283,538647,128,22-05-2020,Andaman and Nicobar Islands,7263,,33
10,08-02-2020,6:00 PM,Kerala,3,0,0,0,3,25-01-2021,India,1277104,55151,19682,1277104,0,,,,18858,1258246,,,,,,,,,444137,832766,201,23-05-2020,Andaman and Nicobar Islands,7327,,33
